M,numKeys,tipo,reads,writes,avg_reads,avg_writes,tempo_total,tempo_cpu,tempo_io,bytes,altura
3,1000,Seq,10952,3964,10.952,3.964,0.010783,0.00173184,0.00905119,35820,9
3,1000,Rand,9265,3183,9.265,3.183,0.0104093,0.00167346,0.00873582,26424,8
3,10000,Seq,143591,39959,14.3591,3.9959,0.127454,0.0208891,0.106565,359856,13
3,10000,Rand,121973,32490,12.1973,3.249,0.126949,0.0198756,0.107073,270180,11
3,50000,Seq,834434,199952,16.6887,3.99904,0.694798,0.112926,0.581873,1799820,15
3,50000,Rand,709187,161770,14.1837,3.2354,0.668308,0.102313,0.565995,1341612,13
3,100000,Seq,1768897,399950,17.689,3.9995,1.42724,0.228354,1.19889,3599820,16
3,100000,Rand,1499814,323745,14.9981,3.23745,1.4179,0.212397,1.2055,2685348,14
3,1000000,Seq,20951387,3999941,20.9514,3.99994,16.8556,2.67374,14.1819,35999784,19
3,1000000,Rand,17793424,3237259,17.7934,3.23726,20.9705,2.42129,18.5492,26850528,17
5,1000,Seq,6761,2482,6.761,2.482,0.00672712,0.00119944,0.00552768,25948,6
5,1000,Rand,5721,2076,5.721,2.076,0.0084015,0.00135092,0.00705058,18876,5
5,10000,Seq,88421,24972,8.8421,2.4972,0.0815888,0.0139771,0.0676118,259844,8
5,10000,Rand,75158,21053,7.5158,2.1053,0.0777825,0.0129262,0.0648562,191880,7
5,50000,Seq,515928,124965,10.3186,2.4993,0.455138,0.0778571,0.377281,1299792,10
5,50000,Rand,435672,105587,8.71344,2.11174,0.459427,0.0721518,0.387276,963872,8
5,100000,Seq,1090928,249965,10.9093,2.49965,0.962232,0.164049,0.798182,2599792,10
5,100000,Rand,933937,210745,9.33937,2.10745,1.04055,0.162882,0.87767,1919996,9
5,1000000,Seq,12968528,2499955,12.9685,2.49995,11.2022,1.87111,9.33112,25999688,12
5,1000000,Rand,11192657,2106916,11.1927,2.10692,12.5246,1.73068,10.794,19191276,11
10,1000,Seq,4388,1733,4.388,1.733,0.004568,0.000859234,0.00370876,22816,4
10,1000,Rand,3832,1496,3.832,1.496,0.00522266,0.000986107,0.00423656,15548,4
10,10000,Seq,58696,17476,5.8696,1.7476,0.0578486,0.0106905,0.0471581,229724,6
10,10000,Rand,50511,14967,5.0511,1.4967,0.0586126,0.010415,0.0481976,152720,5
10,50000,Seq,343536,87471,6.87072,1.74942,0.34544,0.060508,0.284932,1149632,7
10,50000,Rand,294851,74631,5.89702,1.49262,0.30671,0.0545972,0.252113,755872,6
10,100000,Seq,731036,174971,7.31036,1.74971,0.672639,0.119204,0.553434,2299632,7
10,100000,Rand,619064,148843,6.19064,1.48843,0.65676,0.114321,0.542438,1498404,6
10,1000000,Seq,8651344,1749964,8.65134,1.74996,7.94544,1.37101,6.57442,22999540,9
10,1000000,Rand,7277528,1490256,7.27753,1.49026,8.61735,1.28155,7.33581,15042644,7
50,1000,Seq,2069,1119,2.069,1.119,0.00298064,0.000676075,0.00230457,17304,2
50,1000,Rand,2036,1086,2.036,1.086,0.00464165,0.00110311,0.00353854,12772,2
50,10000,Seq,29917,11242,2.9917,1.1242,0.0408904,0.00875864,0.0321318,171804,3
50,10000,Rand,29162,10861,2.9162,1.0861,0.0414446,0.00886395,0.0325806,119480,3
50,50000,Seq,173016,56241,3.46032,1.12482,0.208003,0.0462736,0.161729,858608,4
50,50000,Rand,152714,54411,3.05428,1.08822,0.214204,0.0475316,0.166672,607288,3
50,100000,Seq,379265,112490,3.79265,1.1249,0.463169,0.101384,0.361785,1716804,4
50,100000,Rand,348332,108842,3.48332,1.08842,0.461545,0.10134,0.360205,1216224,4
50,1000000,Seq,4294235,1124985,4.29423,1.12498,4.74815,1.06761,3.68054,17166392,5
50,1000000,Rand,4028553,1088823,4.02855,1.08882,5.55953,1.10273,4.4568,12233928,4
100,1000,Seq,1959,1059,1.959,1.059,0.00299119,0.000743864,0.00224733,17864,2
100,1000,Rand,1947,1047,1.947,1.047,0.00352817,0.000872957,0.00265522,14616,2
100,10000,Seq,25456,10606,2.5456,1.0606,0.0392806,0.0094151,0.0298655,166460,3
100,10000,Rand,23797,10408,2.3797,1.0408,0.0363347,0.00911838,0.0272163,112868,3
100,50000,Seq,147904,53054,2.95808,1.06108,0.196292,0.0473621,0.14893,829052,3
100,50000,Rand,145612,52221,2.91224,1.04442,0.209134,0.0507693,0.158365,604128,3
100,100000,Seq,300964,106114,3.00964,1.06114,0.388273,0.0959863,0.292287,1657292,3
100,100000,Rand,297790,104398,2.9779,1.04398,0.418446,0.102755,0.315691,1193640,3
100,1000000,Seq,3803513,1061213,3.80351,1.06121,4.60579,1.11776,3.48803,16571296,4
100,1000000,Rand,3586869,1043721,3.58687,1.04372,5.3396,1.19354,4.14606,11903920,4
500,1000,Seq,1511,1011,1.511,1.011,0.00395595,0.00125668,0.00269927,24072,2
500,1000,Rand,1508,1008,1.508,1.008,0.00372171,0.00133927,0.00238243,20060,2
500,10000,Seq,19619,10119,1.9619,1.0119,0.0402045,0.0130301,0.0271744,168504,2
500,10000,Rand,19595,10095,1.9595,1.0095,0.0461393,0.0159715,0.0301678,136408,2
500,50000,Seq,100099,50599,2.00198,1.01198,0.199362,0.0657118,0.13365,810424,2
500,50000,Rand,99886,50384,1.99772,1.00768,0.228792,0.0783068,0.150485,525572,2
500,100000,Seq,200699,101199,2.00699,1.01199,0.4145,0.141509,0.272991,1612824,2
500,100000,Rand,200276,100773,2.00276,1.00773,0.418595,0.145966,0.272629,1047132,2
500,1000000,Seq,2886292,1012042,2.88629,1.01204,4.77083,1.67028,3.10056,16116204,3
500,1000000,Rand,2851278,1008389,2.85128,1.00839,5.92568,1.95162,3.97406,11562584,3
1000,1000,Seq,1005,1005,1.005,1.005,0.00466972,0.00196167,0.00270804,32048,2
1000,1000,Rand,1005,1005,1.005,1.005,0.00914653,0.00358842,0.00555812,32048,2
1000,10000,Seq,19059,10059,1.9059,1.0059,0.0550967,0.0223189,0.0327778,176264,2
1000,10000,Rand,19047,10047,1.9047,1.0047,0.0558539,0.0237442,0.0321097,144216,2
1000,50000,Seq,99299,50299,1.98598,1.00598,0.26468,0.106447,0.158233,817224,2
1000,50000,Rand,99191,50189,1.98382,1.00378,0.272513,0.117752,0.154762,528792,2
1000,100000,Seq,199599,100599,1.99599,1.00599,0.690027,0.270664,0.419362,1618424,2
1000,100000,Rand,199386,100383,1.99386,1.00383,0.6264,0.265597,0.360803,1049572,2
1000,1000000,Seq,2504506,1006006,2.50451,1.00601,6.13691,2.61343,3.52347,16064060,3
1000,1000000,Rand,2398744,1003958,2.39874,1.00396,6.60398,2.68936,3.91462,11256860,3
